Date,Average Score,7 MA
2025-02-26,0.214,
2025-02-27,0.0,
2025-03-01,0.071,
2025-03-02,0.0,
2025-03-03,0.295,
2025-03-04,0.029,
2025-03-05,0.044,0.093
2025-03-06,0.068,0.072
2025-03-07,0.035,0.077
2025-03-08,0.162,0.09
2025-03-09,0.0,0.09
2025-03-10,0.0,0.048
2025-03-11,0.05,0.051
2025-03-12,0.053,0.053
2025-03-13,0.049,0.05
2025-03-14,0.0,0.045
2025-03-15,0.116,0.038
2025-03-16,-0.033,0.034
2025-03-17,0.009,0.035
2025-03-18,-0.025,0.024
2025-03-19,0.135,0.036
2025-03-20,0.11,0.045
2025-03-21,0.1,0.059
2025-03-22,0.068,0.052
2025-03-23,0.0,0.057
2025-03-24,0.196,0.083
2025-03-25,0.053,0.095
2025-03-26,0.08,0.087
2025-03-27,0.0,0.071
